title,link,pubdate,content
Kakao’s AI image generator B^ DISCOVER creates over 2 mn images in 4 mo...,https://n.news.naver.com/mnews/article/009/0005089395?sid=104,"Thu, 16 Feb 2023 13:30:00 +0900"," [Image captured from B^ DISCOVER]Kakao Brain Corp., an artificial intelligence (AI) research subsidiary of South Korean platform giant Kakao Corp., said Thursday that its image creator app B^ DISCOVER has generated more than 2 million images in just four months after release on Google Play Store and Apple Inc.’s App Store.B^ DISCOVER is an app that creates an image when a user enters a text, based on Kakao Brain’s AI model “Karlo.” It draws pictures in about five seconds based on the five themes selected by the user such as material, painting style, and color.“B^ DISCOVER is the first AI-based image generation service app introduced by a local developer,” said an unnamed industry official. “The popularity comes as it is highly accessible through just a mobile handset. The growing attention on Chat Generated Pre-Trained Transformer (GPT) may also have played a part.”Kakao Brain plans to release a paid version for professional use in the first quarter. Currently, only a free version is available. It will also introduce a B^ DISCOVER app that integrates Karlo 2.0 model with improved quality.Kakao, in the meantime, has plans to unveil a function that uses Karlo to produce profiles and background photos on the KakaoTalk messaging platform, which is likely to boost B^ DISCOVER access."
"‘Love and Leashes,’ Girls’ Generation Seohyun’s debut film is about ...",https://n.news.naver.com/mnews/article/044/0000234356?sid=104,"Tue, 08 Feb 2022 15:37:00 +0900","Actors of “Love and Leashes” Seohyun (right) and Lee Jun-young pose after an online press conference held on Tuesday. (Netflix)Seohyun of K-pop girl group Girls’ Generation has shed her image as a girl-next-door in her debut film “Love and Leashes,” a rom-com directed by Park Hyun-jin.“When I first read the script, it was fresh and shocking. It was a role that made me want to take up the challenge as an actor,” Seohyun said during an online press conference held on Tuesday. “Not only did it (the script) have a unique topic, it also showed how a man and a woman come to understand their differences.”Based on the webtoon “Moral Sense,” the film, a Netflix original, introduces Jung Ji-woo (played by Seohyun), an ordinary employee at a large conglomerate. She is great at her job, but sometimes has a hard time because her boss often criticizes her attitude -- not smiling when talking, for example.She has a crush on her co-worker, Jung Ji-hoo (played by Lee Jun-young), who is popular at work. One day, Ji-woo receives a package meant for Ji-hoo. Inside it, she finds a leash -- uncovering Ji-hoo’s unique sexual fetish. Director Park said she decided to adapt the webtoon into a film for two reasons.“When I first read the webtoon, I really enjoyed how it tells a story about sexual preference in a humorous and not too provocative way,” Park said. “Also, I really liked Jung Ji-woo. She does not have ‘aegyo’ (a Korean word used to describe babylike charm) so people consider her wooden. But Ji-hoo sees this side of Ji-woo as cool. When I saw these characters, I thought I could create a story that raises questions about society‘s stereotypical expectations of women.” At the press conference, Seohyun talked about how she would react if she accidentally finds out her crush’s secret, like Ji-woo in the movie.“I think it should be respected as long as it is not a crime. If the person does not want to talk about it, I would not force the conversation either. But I would tell my secret and try to show that it is OK to be different,” Seohyun said. “Love and Leashes” directed by Park Hyun-jin (Netflix)The K-pop girl band member said she was excited about her film being presented to audiences worldwide.“I think it is meaningful that our film is Netflix Korea’s first original movie,” Seohyun said. “I am curious to find out how global audiences from 190 different countries, as well as Korean audiences, will receive our film.” The Netflix movie will be released Feb. 11.		"
Third generation of girl groups looks to be marking end of an era,https://n.news.naver.com/mnews/article/640/0000035708?sid=106,"Sun, 05 Mar 2023 11:05:00 +0900","   Brave Girls disbanded on Feb. 16 as the four members' seven-year contracts expired. [BRAVE ENTERTAINMENT]     With a series of disbandments early on in the year, the third generation of K-pop girl groups seems to be coming to an end.      Girl group Brave Girls announced its disbandment on Feb. 16 as the members’ seven-year contracts expired, much to fans’ dismay. There was also a sense of bitterness among the general public, since Brave Girls had seen popularity ever since the group’s sleeper hit “Rollin’” (2017) swept the charts in early 2021, skyrocketing the group to stardom after years of obscurity.      Although the late-blooming success story touched many, and Brave Girls had been seen on countless TV shows and advertisements, the group quietly disbanded with just a digital single and no promotional activities.       Girl group Momoland debuted in 2016 and disbanded in January.[JOONGANG PHOTOS]     Shortly before that, girl group Momoland announced its contract expiration and disbandment on Jan. 27, which caused a mix of feelings among K-pop listeners as the group was widely known for its hit “Bboom Bboom” (2018).      Ironically at the same time, the news was no shock as most third-generation girl groups have already disbanded or been declining in popularity. After the two high-profile groups disbanded, anxiety loomed among fans of remaining third-generation girl groups — notably WJSN which just celebrated its seventh anniversary. After keeping fans on their toes for a while, it was announced on Friday that five out of the 13 members decided to depart, while the remaining eight renewed their contracts — avoiding disbandment but undergoing a change in its lineup.         Girl group WJSN debuted in 2016 and announced the departure of five members on March 3, shortly after celebrating the group's seventh anniversary. [STARSHIP ENTERTAINMENT]     The Korea Fair Trade Commission limits exclusive contracts to seven years at a time, in order to prevent excessively long contracts. As a result, groups which debuted in 2016 — the peak of third-generation debuts — face contract renewal with a high possibility of changes in the member lineup, if not disbandment altogether.           Who are the third-gen girl groups?   Third-generation K-pop acts generally refer to those who debuted sometime between 2013 and until the late 2010s. Those who debuted toward the end of the 2010s, such as girl group ITZY or boy band Tomorrow X Together in 2019, are often considered to be 3.5-generation.       Girl group AOA debuted in 2012 and was popular throughout the 2010s for its sensual concepts. [FNC ENTERTAINMENT]     Groups which debuted shortly before 2013 but rose in popularity later in the 2010s, like girl groups Apink and AOA or boy band Exo, are also considered part of the third generation.    Notable third-generation girl groups include Red Velvet, Mamamoo, Lovelyz, Laboum, Oh My Girl, Twice, GFriend, April, Blackpink, Dreamcatcher, gugudan, Weki Meki, DIA, (G)I-DLE and fromis_9, many of which have already disbanded.       Girl group GFriend debuted in 2015 and disbanded in 2021. [NEWS1]     What were their strategies?      Although numerous K-pop girl groups today sell hundreds of thousands of its physical albums, or even reach million-seller status, the 2010s was before K-pop CD sales skyrocketed.     Especially compared to boy bands who tend to have loyal fandoms willing to buy such collectibles, girl groups before the fourth generation of K-pop (circa 2020-) did not expect much in terms of CD sales but relied heavily on appealing to the general public with catchy melodies or personal beauty.    In order to gain popularity among the general public, girl groups of the time aimed to appeal to the male audience with a conventionally feminine image, ranging from cute and innocent to highly sensual concepts — a contrast from how most female K-pop acts after the late 2010s aim for a strong, charismatic image targeting the female fan base.       Girl group Le Sserafim debuted in 2022 and focuses on potraying a strong, independent image. It is considered one of the most successful fourth-generation K-pop acts. [NEWS1]     “General public” strategy backfires?      Although this strategy registered many third-generation girl groups as national sweethearts, it proved to be less efficient as time passed without the groups establishing core fan bases.    “Even if a group has a high public profile, there’s likely no sustainable revenue model if the group doesn’t have a loyal fandom willing to actually spend money,” said music critic Park Hee-a. “A song becoming popular among the general public is good too, but a loyal fandom buying a group’s CDs and merchandise is much more profitable. Boy bands usually do better than girl groups in this regard, while a number of fourth-generation girl groups like IVE, Le Sserafim and NewJeans have started catching up.”       Girl group IVE debuted in 2021 and has secured a loyal fandom. Its latest EP ""After Like"" sold over a million copies. [STARSHIP ENTERTAINMENT]     Since most third-generation girl groups’ strategies heavily relied on public appeal, their popularity usually declines as the members age, while fandoms tend to grow more invested with time — which is why many boy bands or even girl groups with loyal female fans are able to be active well after the seventh year.      A weak fandom also means that the group cannot afford any slips in terms of a new song’s chart performances. Brave Girls’ “Rollin’” and Momoland’s “Bboom Bboom” were both megahits in terms of streaming, but both groups were unable to produce a song as successful afterwards.         Girl group Lovelyz debuted in 2014 and disbanded in 2021. [WOOLLIM ENTERTAINMENT]     “Relying on producing a hit number, without following up with something as successful every single time, can be a risky a path to take,” critic Park added. “That’s why boy bands tend to last after they hit a certain orbit, because they’ve secured a fandom. Even if it’s not that large of a fan base, the support loyal fans send is less affected by each individual release. But for many girl groups which rely on public popularity, the failure of one song can be an immediate financial threat.”    The disbandment of widely-known girl groups, despite most of the public knowing who they are, is a result.           Fouth-generation shifts    Girl groups like Mamamoo or Red Velvet, which both debuted in 2014, are some of the few exceptions appealing to a more loyal female fandom with unique styles of music, rather than presenting a highly feminine image. The two also happen to be some of the few third-generation girl groups that are still thriving with large fandoms.     Blackpink and Dreamcatcher, which have been maintaining their strong “girl crush” concept since debuting in 2016 and 2017 respectively, as well as Twice, which pivoted to targeting more international and female fans years into its career, are some more examples.         Red Velvet during a press conference in 2022. The girl group debuted in 2014 and still flaunts a loyal fandom. [SM ENTERTAINMENT]     ""Not only the size, but also the demographic of a fandom is crucial,” said music critic Jung Min-jae. “It’s widely known that male fans are unlikely to spend money to support the artists they like, compared to female fans. Brave Girls and Momoland were well-known but their fandoms were predominantly male, which — honestly speaking — wasn’t helpful for those groups to be profitable and thus sustainable.”    “In contrast, we see many boy bands who are virtually unknown to the public make more profit and stay active longer thanks to a small but fervent core fandom,” continued Jung. “Now, we’re seeing fourth-generation girl groups take a similar fandom-centered strategy from the beginning and reaching million-sellers, without necessarily giving up on the public appeal aspect. Today we mainly see long-lasting boy bands, but I expect we will see an increasing number of long-lasting girl groups years later, coming from the fourth generation.”  "
Generation Lockdown Rally,https://n.news.naver.com/mnews/article/077/0005896395?sid=104,"Sat, 25 Mar 2023 03:05:00 +0900","IMAGE DISTRIBUTED FOR MARCH FOURTH - Generation Lockdown: Newtown-led coalition of students, mass shooting victims, survivors and gun violence prevention organizations rally Friday, March 24, 2023 in Washington to demand a federal assault weapons ban. (Eric Kayne/AP Images for March Fourth) THIS PHOTO WAS TAKEN BY AP IMAGES FOR MARCH FOURTH"
Generation Lockdown Rally,https://n.news.naver.com/mnews/article/077/0005896394?sid=104,"Sat, 25 Mar 2023 03:05:00 +0900","IMAGE DISTRIBUTED FOR MARCH FOURTH - Generation Lockdown: Newtown-led coalition of students, mass shooting victims, survivors and gun violence prevention organizations rally Friday, March 24, 2023 in Washington to demand a federal assault weapons ban. (Eric Kayne/AP Images for March Fourth) THIS PHOTO WAS TAKEN BY AP IMAGES FOR MARCH FOURTH"
Generation Lockdown Rally,https://n.news.naver.com/mnews/article/077/0005896392?sid=104,"Sat, 25 Mar 2023 03:05:00 +0900","IMAGE DISTRIBUTED FOR MARCH FOURTH - Generation Lockdown: Newtown-led coalition of students, mass shooting victims, survivors and gun violence prevention organizations rally Friday, March 24, 2023 in Washington to demand a federal assault weapons ban. (Eric Kayne/AP Images for March Fourth) THIS PHOTO WAS TAKEN BY AP IMAGES FOR MARCH FOURTH"
Kakao reports big miss as growth engines hit profit,https://n.news.naver.com/mnews/article/640/0000038000?sid=101,"Thu, 04 May 2023 12:01:00 +0900","  Kakao's office in Pangyo, Gyeonggi [YONHAP]     Kakao's net profit plummeted 93.4 percent on year to 87.1 billion won ($65.9 million) in the first quarter of 2023, the company blaming the high base effect due to a temporary surge in profit in 2022's first quarter as shares held for investment were sold. The figure fell far short of a market consensus of 126.2 billion won, as compiled by FnGuide. Operating profit fell 55.2 percent to 71.1 billion won, below analyst expectations of 122.7 billion won.    Sales were 1.74 trillion won, a 5.4 percent increase on year. The figure was below a market consensus of 1.83 trillion won.    The fall in operating profit was attributed to the building of redundancy in the company's data centers and increased spending on investment in new growth engines, such as in artificial intelligence (AI), cloud and healthcare.    The company blamed the economic slump and a fall in domestic sales from Kakao Games massively multiplayer online roleplaying game (MMORPG) Odin Valhalla Rising for the slow sales growth. Sales of ArcheAge War, a MMOPRG released in March, were not fully reflected in the first quarter.    Kakao CEO Hong Eun-taek explained that the company will continue to aggressively invest in new growth engine sectors to gain strong positioning in the respective industries and introduced a lineup of AI programs this year.     KakaoBrain will release an upgraded version of the Korean Generative Pre-trained Transformer (KoGPT) language model ""KoGPT 2.0"" by the latter half of the year. KoGPT 2.0 was initially scheduled for release in the first half of this year.    Upgraded versions of AI image generation model Karlo 2.0 will be released sometime this month.    Kakao Healthcare will release a business-to-business (B2B) digital service in which research centers and healthcare businesses can utilize data from medical centers by the second quarter.    In business-to-consumer (B2C) areas, the company will release a platform to offer daily life solutions for patients with diabetes or in need of checking their blood sugar levels by the fourth quarter. The platform will analyze daily life patterns with AI and offer specific solutions, such as tips on their diet and exercise.    ""We believe this year's annual operating loss for our new initiatives will rise higher than we've seen in previous years, to a maximum 300-billion-won loss,"" said Kakao Chief Investment Officer and Executive Vice President Bae Jae-hyun in an online conference call Thursday.    ""This is going to be a peak for our AI-related investment. At earliest, related costs will dwindle down by the latter half of this year, or will be dramatically reduced by next year.""   "
SK Hynix sets up image sensor R\&D center in Tokyo to challenge Sony’s d...,https://n.news.naver.com/mnews/article/009/0004463044?sid=004,"Wed, 13 Nov 2019 15:19:00 +0900"," South Korea’s SK Hynix has set up an image sensor research center in Japan, a powerhouse in the field of imaging sensor chips led by Sony Corporation. The world’s No. 2 memory chip maker aims to leverage its R&D resource there to attract top research talent and close its technology gap with global players in the system semiconductor, according to industry sources on Tuesday. The new research center named Japan CIS R&D Center is located in Tokyo and will be led by Masayuki Shimura, who had worked at Sony for 18 years from 1997. He also worked at Huawei before joining SK Hynix as research head for next-generation image sensor technology. The research center is designed to take advantage of various R&D resources across Japan and joint research projects with universities in Japan will contribute to the company’s image sensor business, said Shimura. SK Hynix currently runs two image sensor production lines at Icheon and Cheongju sites in Korea. Part of its DRAM lines was converted into a line for image sensors this year to meet the growing market needs while adjusting production of DRAMs against oversupply.  Image sensors sales account for a mere 2 to 3 percent of SK Hynix's total revenue, with most of its products for 13 million-pixel mobile devices. SK Hynix is planning to respond to the demand for high-capacity mobile devices by expanding its line up by adding 16 million-pixel products this year and up to 48 million-pixel products next year.Demand for image sensors are on a sharp rise as more businesses look for high-end digital camera in various applications powered by disruptive technologies such as 5G mobile communication, autonomous driving, artificial intelligence and the Internet of Things. According to market research firm TSR, the global image sensor market is expected to grow from $13.3 billion last year to $24.4 billion in 2023.The global market is dominated by Sony and Samsung Electronics with 49.9 percent and 19.6 percent market share, respectively last year, according to IHS Markit. SK Hynix ranked fourth in the market with a 5.6 percent market share.[ⓒ Maeil Business Newspaper & mk.co.kr, All rights reserved]		"
Girls' Generation in crisis,https://n.news.naver.com/mnews/article/044/0000192974?sid=104,"Tue, 10 Oct 2017 16:24:00 +0900","From left: Sooyoung , Seohyun and Tiffany (Herald DB)Having reached the 10-year mark, which is very rare for any K-pop act, Girls’ Generation is considered a textbook example of how to succeed in the K-pop industry. The iconic group’s influence is enormous, notching countless awards and numerous hits. The revelation Monday night that three members of Girls‘ Generation are leaving their agency raises questions about the group‘s future: Will the group weather the storm intact or will it be the final straw for this legendary brand? On Monday evening, S.M. Entertainment confirmed local media reports which claimed that members Tiffany, Seohyun and Sooyoung did not renew their contracts with the label while the other five -- Taeyeon, Yoona, Yuri, Hyoyeon and Sunny -- have decided to remain with the agency.The agency said in a statement, “Girls’ Generation is a precious and meaningful group for both S.M. and fans,” adding that the members are not considering disbandment at all and that it will carefully discuss the future of group with the remaining members. The news came as a shock to many, as the act had released its sixth full-length album “Holiday Night” in August to commemorate its 10th anniversary, giving the impression that the members‘ strong bond would last forever. According to media reports, California-born-and-raised Tiffany is expected to pursue her studies in the US, while Seohyun and Sooyoung will pursue acting careers following their split from the agency. It was previously reported that Tiffany has been growing a passion for acting for several years, and plans to study acting in the US. Sooyoung and Seohyun, who have been in several TV drama series, are currently starring in TV drama “Man Who Sets The Table” and “Thief, thief,” respectively. Seohyun has also featured in multiple musicals.With three of its members venturing into solo careers -- one of them leaving Korea -- speculations have been rising that their departure will soon lead to the group’s disbandment. Girls’ Generation may manage to stay intact from the blow, but whether the five-member structure will hold as much momentum as before also remains a question. Other popular girl groups such as Wonder Girls and Sistar broke up entirely after having lost its members or seeing some members choose a solo career over group activities. However, it is too early to make any assumptions about the group’s future, as another scenario in which the members can gather in groups or as a whole for project activities is still possible, following in the footsteps of long-running K-pop acts such as Shinhwa and g.o.d. Girls‘ Generation (S.M. Entertainment)After its contract with S.M. Entertainment expired in 2003, the members of Shinhwa, who got together in 1998 making it the longest-running K-pop group to date, embarked on solo careers either as actors or singers under different agencies. Then in 2011, all six original members joined in establishing its own agency, Shinhwa Company, to allow for activities as a group alongside their solo careers. Such effort to stay together enabled Shinhwa to release its impressive 13th album “Unchanging” in October last year without losing any of its members. g.o.d, one of the most popular K-pop bands of the early 2000s, is another group that has managed to remain relevant. The group went into hiatus in 2006 after Yoon Kye-sang left the group in 2004 to pursue acting. But in 2014, all five members, who were on different paths under different agencies, reunited to drop its eighth full-length album “Chapter 8” to celebrate its 15th anniversary. Since debuting in 2007 with the first single “Into the New World,” an energetic pop rock track filled with hopes and dreams that fit the group’s youthful image, Girls’ Generation has become a leader in K-pop industry. The group was credited for setting genre trends with its bubblegum hits and flirty pop style, especially after performing its breakout hit “Gee” in skinny jeans with vibrant colors in 2009, which later became an infectious fashion trend.Along with hits such as “Genie,” “Oh!” and “Run Devil Run” in mid-2009 and early 2010, the act’s fourth full-length album “I Got a Boy” in 2013 was also a huge success, claiming the top spot on Billboard‘s World Albums Chart. After the departure of Jessica Jung in 2014 the group returned as an eight-piece and released a slew of hits, including “Lion Heart” and its latest anniversary album “Holiday Night,” which debuted at No.1 on Billboard’s World Albums chart in June. Along with group activities, members Taeyeon, Tiffany, Seohyun and Hyoyeon have also made headway in their solo careers, while other members have appeared on the small screen and on variety shows, contributing to the longevity of the group. By Hong Dam-young (lotus@heraldcorp.com)[코리아헤럴드] [K-POP HERALD] [페이스북] <ⓒKoreaHerald(www.koreaherald.com)무단전재 및 재배포 금지>		"
"When it comes to artistic creation, is AI a friend or foe?",https://n.news.naver.com/mnews/article/640/0000035457?sid=103,"Sun, 26 Feb 2023 13:30:00 +0900","  A text-to-image AI Dall-E2 generated image with a prompt: Edward Hopper-style image of a man and a woman sitting at a cafe table, both absorbed in their smartphones without speaking. [MOON SO-YOUNG]      “A man and a woman sitting at a cafe table, both absorbed in their smartphones without speaking, in Edward Hopper style.”    Upon entering the command in English to text-to-image generation website Dall-E2, four images were created in just over a minute. While evoking the wide expanses of color, spaciousness and a lonely atmosphere of the British painter’s iconic work “Nighthawks,” the resulting image was more than a mere imitation but a unique artwork.    It was a moment that confirmed the ongoing concern that AI is posing a threat to the field of artistic creation.    Will an AI be smart enough to know the Queen Seondeok of Korea’s Silla Dynasty (57 B.C. to A.D. 935) and generate her image correctly?        Midjourney generated image of Queen Seondoek of Silla in Alphonse Mucha style [MOON SO-YOUNG]      “Queen Seondeok Silla, an ancient kingdom of Korea, wearing a red hanbok [Korean traditional dress] and a golden crown of Silla, in an Art Nouveau painter Alphonse Mucha style.”    This time, this reporter utilized Midjourney, another text-to-image generation app similar to OpenAI’s Dall-E2. A faint image started to appear as soon as the enter key was pressed. Within 40 seconds, four complete drawings were generated, depicting intricate details such as facial expressions, hair and even the big folds in drapery. The quality of the images was so high that they could be used immediately as illustrations for a fantasy web novel.    The emergence of ChatGPT, which can write speeches for politicians or solve medical exam questions with ease, has sparked a global phenomenon, with over 100 million users utilizing its services. Different AI programs that challenge human activities have been emerging one after another in recent years.    “AI has reached a stage where it seems to have its own sensibility by predicting elements that humans like and are moved by, based on vast data learning to create text and images,” said Yiyun Kang, a media artist and an assistant professor at KAIST. ChatGPT may still be in its early stages, but it is already writing poetry and novels that touch on human emotions. There’s even AI that composes music.    The paintings created by AI are ultimately a collection of imitations based on data learning. However, even among creative artists, there are those who use AI or collaborate with it in their creative activities.    “The world where AI does everything has arrived.”    This is the title of a YouTube video uploaded by a famous Korean webtoon artist Joo Ho-min last October. As AI that can draw pictures from text input surpasses the realm of creative activities once considered unique to humans, Joo initiated a live discussion with his viewers to talk about how much of a threat this poses to creators such as webtoon artists. Video content related to such issues has been rapidly increasing on social media over the past few months.    The big three AI image generators — Dall-E2 and Midjourney from the U.S. and Stable Diffusion from the UK — made a stir as they were introduced to the public one after another last summer. In particular, webtoon and game industry insiders in Korea were shocked by the emergence of Noble AI, which produces high-quality Japanese anime-style images based on Stable Diffusion technology.    Is the quality that high to shock the professionals?    According to the official website of Dall-E2, the AI developed by OpenAI, a U.S.-based research institute that also created the conversational AI service ChatGPT, is named after the surrealist artist Salvador Dali and Pixar’s Wall-E. Dall-E uses the underlying AI language model GPT-3, which was trained on a massive amount of text data to learn how to use language in various ways and applies this knowledge to generate images. It was first released in early 2021 and an upgraded version has been available to the public since the second half of 2022.    As for the quality of the images produced by the AI, it’s definitely high enough to threaten professionals in the webtoon and game industry. Dall-E can be easily accessed if you already have a Google ID. In the first month, users are provided with 50 credits for free, which allows them to generate 50 images. After that, 15 credits will be provided every month for free. If users wish to use more, they can purchase additional credits. To generate an image, users can simply enter a prompt describing the desired image in the input field and press the “generate” button. As the AI on the website does not understand Korean, prompts should be written in English to generate images.    Will the AI be able to generate editorial cartoons for newspapers? Let’s give it a try.      An illustration of members of parliament generated by Dall-E2 [MOON SO-YOUNG]     Upon entering “Illustrations of bickering members of parliament” and clicking on the generate button, it took about a minute for four illustrations in the style of editorial cartoons to appear. While the details such as the hand gestures were a bit exaggerated, the overall atmosphere was well captured and could be used in editorial pages or for political commentary videos. If you don’t like any of the images, you can click on the generate button once again to get a new set.        Images of Geobukseon (turtle ship) that turned into a mechanical and futuristic spaceship generated by Midjourney [MOON SO-YOUNG]      This reporter decided to challenge the AI and entered prompts such as “A cute rabbit wearing hanbok” and “A geobukseon [turtle ship] that turned into a mechanical and futuristic spaceship.”      Dall-E2-generated image of hanbok-wearing rabbits [MOON SO-YOUNG]     The hanbok-wearing rabbit prompt generated relatively satisfying images, including photographs and 3-D rendering images. However, the images generated for the spaceship-turned-geobukseon prompt did not reflect the real appearance of the geobukseon, or the Korean warships otherwise known as turtle ship, that are well-known to all Koreans.    Lee Tak-yeon, an assistant professor of Industrial Design at KAIST, who also leads an AI-Experience Lab, explained that this may be due to the AI not having any data on Korea’s geobukseon or due to an inaccurate description of the prompt. One user also commented that the text-to-image AI programs seem to lack “data training on Asian culture.”    The most high-quality images were generated for the following two prompts: “A modern city covered in volcanic ash clouds after a volcanic explosion nearby in oriental painting style” and “A man and a woman sitting at a cafe table, both absorbed in their smartphones without speaking in Edward Hopper style.”    But not all AIs showed the same competence for the same prompts.    When the result for the latter prompt on Dall-E2 was jaw-dropping, the same prompt on Midjourney generated a one-dimensional composite image of a man and a woman holding smartphones.    When the same prompt to generate an image of a “geobukseon turned into a spaceship” was asked on Midjourney, it only generated four images that looked like a turtle with a submarine-like structure — far from anything that resembled a spaceship or geobukseon. Despite adding detailed descriptions of a turtle ship, such as a ship with “sharp iron spikes protruding from hexagonal plates covering the top of the ship,” or “a dragon head on the bow of the vessel,” the AI kept generating increasingly bizarre images, clearly showcasing it did not understand what geobukseon was. One notable feature of Midjourney was, however, that even the strangest images it generated had sophistication.    One of the defining characteristics of Midjourney is its ability to create illustrations that resemble those found in science fiction and fantasy games. In August, an image created by Midjourney won first place in the digital art competition at the Colorado State Fair, sparking a debate whether AI-generated art can be considered a form of creative work.        Video artist Jason Allen's Midjourney generated piece called “Théâtre D’opéra Spatial” won first place at the Colorado State Fair. [JASON ALLEN]      The quality of the image generated by the AI exceeded the expectations of the people and had the potential to significantly disrupt the illustration industry.    “Illustrators who only perform relatively simple tasks are at high risk of losing their jobs due to such AI but at the same time, they have great potential to utilize AI to do better,” said Prof. Lee. “They can use the images generated by AI as assets and add their final touch, which can help them complete five to 10 projects a day compared to doing one a day.”    Webtoon artist Joo also said in the video he posted that he doesn’t think creators of webtoons will be threatened by such AI.    “However, it is highly likely that assistant illustrators who help webtoon artists to draw backgrounds and color are likely to be replaced by such AI,” he said as he introduced an “out painting” function in Dall-E2.    This function allows the user to upload a painting, such as the 17th-century masterpiece “Girl with a Pearl Earring,” with an input text describing a scene where the girl is standing in a kitchen outside the original painting. The AI will then generate a new image that shows the entire figure of the girl standing in the kitchen with similar shading and texture to the original.    Professor Lee explained that the activities of content creators such as authors, educators, YouTubers and web novelists are expected to become much more abundant. In the past, even simple illustrations for content had to be commissioned from illustrators or purchased one by one from image stock companies, but now they can be created with AI. Of course, this will affect professional illustrators, but they should actively utilize AI to increase the quality and quantity of their works, or focus on creating works tailored to clients’ detailed demands, which AI is not yet fully capable of.    Professor Lee has been insisting through his research that AI can be a partner to human creators rather than a competitor.    “In our lab, we have invited six beginner illustrators and four hobby illustrators and four professionals and asked them to work with Dall-E2. We’ve been studying whether they perceive the image-generating AI as a colleague, assistant or just a tool,” said Lee. “The professional illustrators tend to regard Dall-E2 as a search engine that provides reference materials and they really like it when the AI creates images that they had not thought of as they will use them as material to create their final works,” Lee added, explaining that this may be the way for AI and professional illustrators to ultimately coexist, allowing humans to preserve their creativity.    Collaboration between humans and AI, however, can raise copyright issues.    Kathleen Kim, a New York-qualified attorney who specializes in art law, said, “Only humans can be the subject of creation under the copyright law, therefore, AI is unlikely to be a copyright holder and may not be protected as a copyrighted work. However, if a human artist is the subject of creative activity and simply uses AI’s capabilities as a tool, the copyright for the resulting work may belong to the artist. Therefore, it can be determined whether the work is protected as a copyrighted work depending on the extent of human intervention and AI intervention.”    However, Kim added that AI has a degree of agency that is incomparable to past computer programs, so the legal profession is struggling with how to accommodate it.    “It is safe to say that we’re heading into a completely new era,” Kim said.  "
