title,link,pubdate,content
Korean e-commerce platforms turn to AI for in-depth customer review anal...,https://n.news.naver.com/mnews/article/009/0005135840?sid=104,"Fri, 26 May 2023 10:25:00 +0900"," [Photo provided by SSG.com]South Korean e-commerce players are applying artificial intelligence (AI) technology to their platforms to analyze consumer reviews, which allows them to improve the quality of products and delivery.SSG.com Corp., an online grocery and shopping mall under Shinsegae Group, is at the forefront.The company announced Thursday that it has self-developed an AI analysis system for operation with an aim to improve product satisfaction by analyzing customer reviews in real time.“We adopted the system in August 2021 and we have enhanced big data analysis through a monthly average of 2.5 million consumer reviews,” said an unnamed official from SSG.com.The analysis system is based on Named Entity Recognition (NER), a natural language processing technique that identifies key elements of natural language in a text. The AI-backed technology scans the text, classifies it into several categories, and even understands the textual nuance.For example, when a consumer writes a review that says, “This fruit is sweet and fresh, but delivered at the poor quality of packaging,” the NER system classifies the review to each of the 3 categories - flavor/sweetness, freshness, and packaging/delivery - by identifying the keywords.After detecting the text‘s tone to figure out how positive or negative it sounds, the AI-backed tool sends to each product manager the analysis results such as “for sweetness, 80 percent positive and 20 percent negative,” or “90 percent in overall satisfaction.”SSG.com used the AI-generated analysis with 7 specific categories for grocery products, such as “taste” and “price.”The AI-backed tool can well recognize somewhat confusing phrases in Korean, like “Neoguri tastes better than Shin Ramyun.” The technology understands that Neoguri here refers to the instant noodle brand instead of a raccoon, which in Korean is pronounced as neoguri.“We have been committed to building up the AI system in which half the workforce at the headquarters is engineers or in relevant positions,” said the company’s official.“The use of AI tools allowed us to quickly respond to every customer feedback by reducing workloads of analyzing reviews,” the official added.SSG.com plans to use feedback data to improve the quality control process.Other e-commerce channels also focus on review analysis. Coupang Corp. has a review-based listing that recommends trustworthy products to customers. Grocery chain Homeplus Co. also takes into consideration the reviews of its fresh products to enhance customer satisfaction."
Naver’s supersized AI research strides towards commercialization,https://n.news.naver.com/mnews/article/009/0005038251?sid=004,"Mon, 31 Oct 2022 15:33:00 +0900"," South Korean internet giant Naver has made remarkable strides in artificial intelligence (AI) research based on its papers recognized by professional societies this year.According to sources on Sunday, nine articles from researchers affiliated with Naver AI Lab and Clova under the Korean IT giant were adopted by the Empirical Methods in Natural Language Processing (EMNLP) held last month. EMNLP is a leading global conference in the area of natural language processing and artificial intelligence. Among the papers adopted this time, the company’s new technology dubbed Alpha Tuning drew great attention from researchers around the world as it is used to commercialize Naver’s supersized AI platform HyperCLOVA.Alpha Tuning developed by Naver Clova’s Efficient AI team presented a new breakthrough in the field of data weight reduction and optimization, which are two key things worldwide researchers are concentrating on to improve AI performance. The performance of supersized AI is usually evaluated by the number of parameters. HyperCLOVA unveiled by Naver in May last year achieved a scale of 204 billion parameters, more than that of Open AI GPT-3 (Open AI), which was once known as the most outstanding supersized AI.The more parameters, the greater number of graphic processing units (GPUs) becomes in need. But the Naver team has implemented lighter and more efficient AI through quantization and data compression techniques.Alpha Tuning research is a key technology to improve AI data weight loss and optimization through a new quantization-based additional learning technique, said a company official, adding this technology will be used to introduce supersized AI into various services in the future.Naver continues to invest in AI research despite losses in the area for many years. The company has invested about 25 percent of its revenue in R&D over the past several years. In 2017, it acquired France’s Xerox Research Center Europe and created it into Naver Labs Europe.Naver’s research performance is also evidenced by the number of research papers. The number of Naver Clova papers accepted at major professional societies around the world, including the top three AI societies (ICLR, CVPR, EMNLP), increased to 97 this year from 43 in 2020.[ⓒ Maeil Business Newspaper & mk.co.kr, All rights reserved]		"
"한국투자신탁운용, ‘한국투자글로벌AI\&반도체TOP10펀드’ 출시",https://n.news.naver.com/mnews/article/366/0000898587?sid=101,"Wed, 03 May 2023 09:56:00 +0900","			        한국투자신탁운용은 인공지능(AI)과 반도체 산업에 동시에 투자하는 ‘한국투자글로벌AI&반도체TOP10펀드’를 출시했다고 3일 밝혔다.한국투자신탁운용 제공        ‘한국투자글로벌AI&반도체TOP10펀드’는 AI와 반도체 산업을 주도하면서 독점력을 가진 글로벌 대표 종목 10개를 선별해 집중 투자하는 상품이다. AI와 반도체 산업이 융합하며 발생하는 시너지 효과로 성장이 예상되는 미래 기술 선점 기업들이 투자 대상이다.‘한국투자글로벌AI&반도체TOP10펀드’는 AI와 반도체 산업 전반을 커버하는 핵심 분야를 선정한 뒤 대표 기업들을 선별해 포트폴리오를 구성한다. 한국투자신탁운용은 AI와 반도체 분야의 글로벌 리서치, 뉴스, 기업 문서 등을 분석하는 자체 시스템을 개발했다. 해당 시스템을 활용해 세부 산업별 규모, 산업 로드맵 등을 고려한 핵심 분야를 설계하고, 빅데이터 기반 투자 유니버스를 만든다. 투자 유니버스는 각 핵심 분야별로 매출 인식 종목, 자연어 처리(NLP·Natural Language Processing) 기반 세부 연관도 상위 종목 등을 선별해 100여 종목으로 구성한다.최종 포트폴리오는 투자 유니버스 내에서 ▲시장 점유율 ▲독점 플랫폼 보유 여부 ▲네트워크 효과 ▲전환 비용 등을 고려해 선정된 핵심 분야별 대표 종목으로 구성된다. 한투운용은 산업의 패러다임 변화에 유연하게 대응할 수 있도록 코어(Core) 포트폴리오와 전략(Strategy) 포트폴리오로 구분해 관리한다. 코어 포트폴리오는 AI, 반도체 핵심 분야별 대표 종목 10개로 구성된다. 전략 포트폴리오로는 비교적 낮은 시가총액 등의 이유로 각 분야 대표 종목은 아니지만 평가 점수가 높아 산업 변화에 따라 대표 종목이 될 수 있는 후보 그룹을 미리 편입한다.운용을 맡은 김현태 한국투자신탁운용 글로벌퀀트운용부 책임은 “AI와 반도체 산업은 대표적인 승자독식 산업”이라며 “진입장벽을 가진 독점적 반도체 기업이 독보적 성장세를 보일 것이므로 독점적 주도 기업에 투자하는 것이 매우 중요하다”고 설명했다.‘한국투자글로벌AI&반도체TOP10펀드’는 환율 변동에 따른 위험을 헤지하는 환헤지(H)형, 환율 변동에 자산을 노출하는 언헤지(UH)형, 미국 달러화(USD)로 투자하는 USD형으로 각기 출시됐다. 한국투자증권을 통해 가입할 수 있으며 판매사는 점차 확대될 예정이다."
"승자만 생존…한투운용, AI·반도체 톱10 투자 펀드 내놨다",https://n.news.naver.com/mnews/article/648/0000016010?sid=101,"Wed, 03 May 2023 09:47:00 +0900","'한국투자글로벌AI&반도체TOP10펀드' 출시한국투자신탁운용이 글로벌 인공지능(AI)·반도체 분야 최고 기업만 모아 투자하는 펀드를 선보였다. AI와 반도체 산업은 대표적인 승자독식 산업으로 분류되는 만큼 주도권을 쥔 기업에만 집중적으로 투자할 수 있게 한 것이 특징이다./그래픽=비즈워치한투운용은 3일 AI와 반도체 산업에 동시 투자하는 '한국투자글로벌AI&반도체TOP10펀드'를 출시했다고 밝혔다.이 펀드는 AI와 반도체 산업을 주도하면서 독점력을 가진 글로벌 대표 종목 10개를 선별해 투자한다. AI와 반도체 산업이 융합하며 발생하는 시너지 효과로 성장이 기대되는 미래 기술 선점 기업들이다.펀드 운용을 맡은 김현태 한투운용 글로벌퀀트운용부 책임은 ""AI와 반도체 산업은 대표적인 승자독식 산업""이라며 ""최근 뜨거운 화두인 챗GPT는 독점적 데이터를 가진 빅테크 기업과 독점적 제조 역량을 갖춘 반도체 기업이 미래 성장 동력을 선점하고 있음을 보여주는 대표적 사례""라고 설명했다.김 책임은 이어 ""챗GPT가 마이크로소프트의 투자를 통해 성장하고, 이를 마이크로소프트가 다시 활용하는 것처럼 향후 AI 서비스는 데이터와 자본력을 가진 거대 빅테크 기업이 주도할 것""이라며 ""이와 더불어 자체 개발 생태계를 갖춘 엔비디아 등 진입장벽을 가진 독점적 반도체 기업이 독보적 성장세를 보일 것으로 예상되는 만큼 독점적 주도 기업에 투자하는 것이 매우 중요하다""고 강조했다.한국투자글로벌AI&반도체TOP10펀드는 AI와 반도체 산업 전반을 커버하는 핵심 분야를 선정한 뒤 대표 기업들을 골라 포트폴리오를 짠다. 한투운용은 AI와 반도체 분야의 글로벌 리서치, 뉴스, 기업문서 등을 분석하는 자체 시스템을 개발했다.이를 활용해 세부 산업별 규모, 산업 로드맵 등을 고려한 핵심 분야를 설계하고 빅데이터 기반 투자 유니버스를 만든다. 투자 유니버스는 각 핵심 분야별로 매출 인식 종목, 자연어 처리(NLP·Natural Language Processing) 기반 세부 연관도 상위 종목 등을 선별해 100여 종목으로 구성한다.최종 포트폴리오는 투자 유니버스 내에서 △시장 점유율 △독점 플랫폼 보유 여부 △네트워크 효과 △전환 비용 등을 고려해 핵심 분야별 대표 종목을 고른다. 산업의 패러다임 변화에 유연하게 대응할 수 있도록 '코어(Core) 포트폴리오'와 '전략(Strategy) 포트폴리오'로 구분한다.코어 포트폴리오는 AI와 반도체 핵심 분야별 대표 종목 10개만, 전략 포트폴리오는 비교적 낮은 시가총액 등의 이유로 각 분야 대표 종목은 아니지만 평가 점수가 높아 산업 변화에 따라 대표 종목이 될 수 있는 후보 그룹을 미리 편입하는 식이다."
"""AI·반도체에 투자하세요"" 한투운용, 글로벌 TOP 10 펀드 출시",https://n.news.naver.com/mnews/article/018/0005477588?sid=101,"Wed, 03 May 2023 08:36:00 +0900","한국투자글로벌AI&반도체TOP10펀드글로벌 대표 기업 TOP 10에 집중 투자[이데일리 김보겸 기자] 한국투자신탁운용은 인공지능(AI)과 반도체 산업에 동시에 투자하는 ‘한국투자글로벌AI&반도체TOP10펀드’를 출시했다고 3일 밝혔다.‘한국투자글로벌AI&반도체TOP10펀드’는 AI와 반도체 산업을 주도하면서 독점력을 가진 글로벌 대표 종목 10개를 선별해 집중 투자한다. AI와 반도체 산업이 융합하며 발생하는 시너지 효과로 폭발적 성장이 예상되는 미래 기술 선점 기업들이 투자 대상이다.김현태 한국투자신탁운용 글로벌퀀트운용부 책임은 “AI와 반도체 산업은 대표적인 승자독식 산업”이라며 “최근 뜨거운 화두인 챗GPT는 독점적 데이터를 가진 빅테크 기업과 독점적 제조 역량을 갖춘 반도체 기업이 미래 성장 동력을 선점하고 있음을 보여주는 대표적 사례”라고 설명했다.이어 “챗GPT가 마이크로소프트의 투자를 통해 성장하고, 이를 마이크로소프트가 다시 활용하는 것처럼 향후 AI 서비스는 데이터와 자본력을 가진 거대 빅테크 기업이 주도할 것”이라며 “이와 더불어 자체 개발 생태계를 갖춘 엔비디아 등 진입장벽을 가진 독점적 반도체 기업이 독보적 성장세를 보일 것이므로 독점적 주도 기업에 투자하는 것이 매우 중요하다”고 강조했다.‘한국투자글로벌AI&반도체TOP10펀드’는 AI와 반도체 산업 전반을 커버하는 핵심 분야를 선정한 뒤 대표 기업들을 선별해 포트폴리오를 구성한다. 한국투자신탁운용은 AI와 반도체 분야의 글로벌 리서치, 뉴스, 기업문서 등을 분석하는 자체 시스템을 개발했다. 해당 시스템을 활용해 세부 산업별 규모, 산업 로드맵 등을 고려한 핵심 분야를 설계하고, 빅데이터 기반 투자 유니버스를 만든다. 투자 유니버스는 각 핵심 분야별로 매출 인식 종목, 자연어 처리(NLP·Natural Language Processing) 기반 세부 연관도 상위 종목 등을 선별해 100여 종목으로 구성한다.최종 포트폴리오는 투자 유니버스 내에서 △ 시장 점유율 △ 독점 플랫폼 보유 여부 △ 네트워크 효과 △ 전환 비용 등을 고려해 핵심 분야별 대표 종목을 선별한다. 산업의 패러다임 변화에 유연하게 대응할 수 있도록 코어(Core) 포트폴리오와 전략(Strategy) 포트폴리오로 구분해 관리한다. 코어 포트폴리오는 AI, 반도체 핵심 분야별 대표 종목 10개로 구성된다. 전략 포트폴리오는 비교적 낮은 시가총액 등의 이유로 각 분야 대표 종목은 아니지만 평가 점수가 높아 산업 변화에 따라 대표 종목이 될 수 있는 후보 그룹을 미리 편입한다.‘한국투자글로벌AI&반도체TOP10펀드’는 환율 변동에 따른 위험을 헤지하는 환헤지(H)형, 환율 변동에 자산을 노출하는 언헤지(UH)형, 미국 달러화(USD)로 투자하는 USD형으로 각기 출시됐다. 한국투자증권을 통해 가입할 수 있으며 판매사는 점차 확대될 예정이다."
"국내 1위 AI공급망 업체 엠로, 日에서도 기술력 입증",https://n.news.naver.com/mnews/article/014/0005006422?sid=101,"Wed, 03 May 2023 09:08:00 +0900","자체개발 AI기술 일본 특허 등록 결정 ‘눈길’국내, 일본 이어 미국에서도 특허 등록 진행 중글로벌서 인정받는 AI 기술로 해외시장 공략 가속화  [파이낸셜뉴스] 국내 1위 AI 기반 공급망관리 소프트웨어 기업 엠로가 일본에서 AI(인공지능) 기술 관련 특허를 등록하며 구매 공급망관리 분야에서 독보적인 AI 기술력을 또 한 번 인정받았다.   3일 엠로에 따르면 이번에 일본 특허청을 통해 등록 결정된 특허권은 ‘기계 학습 기반 정보 제공 방법 및 장치’에 관한 것으로, 구매시스템에서 새로운 품목을 등록할 때 AI 기반 자연어 처리 기술(NLP, Natural Language Processing)을 활용해 시스템 상에 이미 저장된 품목 데이터와의 유사도를 자동으로 분석하고 분류하는 기술이다. 국내 기업이 구매 공급망관리 분야에 특화된 머신러닝 모델을 활용해 일본에서 특허를 등록한 사례는 엠로가 처음이다.   엠로 관계자는 “엠로는 AI사업본부 내 기업부설연구소와 AI연구그룹 등을 통해 AI와 관련된 신기술을 연구하고 있으며, 자체 기술 역량을 바탕으로 기업의 공급망관리를 혁신하는 AI 소프트웨어를 꾸준히 선보이고 있다”며 “이번 일본 특허 등록을 통해 해외에서도 엠로의 AI 기술력과 경쟁력을 입증한만큼 앞으로 글로벌 공급망관리 소프트웨어 시장을 적극적으로 공략해 나가겠다”고 말했다.   엠로는 앞서 2021년 해당 내용으로 국내 특허를 등록 완료했으며, 이 기술을 기반으로 AI 소프트웨어 ‘스마트 아이템 닥터(SMART Item Doctor)’를 개발해 현대오일뱅크, 대한항공, 포스코DX, 현대자동차 등 각 산업 분야의 대표 기업들에 제공해오고 있다.   기업들은 엠로의 ‘스마트 아이템 닥터(SMART Item Doctor)’를 통해 구매업무의 기준이 되는 품목 데이터의 중복 등록을 방지하고 데이터 관리 작업을 개선함으로써 구매업무의 정확도와 효율성을 획기적으로 향상시키고 있다.   이 외에도 일본, 미국 등에서 총 7건의 AI 관련 특허 출원이 완료돼 심사가 진행 중이다. 엠로는 본격적인 글로벌 진출을 앞두고 있는 만큼 기존에 보유한 AI 관련 국내 특허 4건에 더해 해외 시장에서도 지식재산권 확보에 박차를 가한다는 계획이다. #특허 #인공지능 #AI #엠로  "
"한투운용, `글로벌 AI\&반도체 TOP10 펀드` 출시",https://n.news.naver.com/mnews/article/029/0002798432?sid=101,"Wed, 03 May 2023 11:12:00 +0900","한국투자신탁운용 제공.    한국투자신탁운용은 인공지능(AI)과 반도체 산업에 동시에 투자하는 '한국투자 글로벌AI&반도체 TOP10펀드'를 출시했다고 3일 밝혔다.한국투자 글로벌AI&반도체 TOP10펀드는 AI와 반도체 산업을 주도하면서 독점력을 가진 글로벌 대표 종목 10개에 집중 투자하는 상품으로, 관련 산업 전반을 커버하는 핵심 분야를 선정한 뒤 대표 기업들을 선별해 포트폴리오를 구성한다. 한국투자신탁운용은 AI와 반도체 분야의 글로벌 리서치, 뉴스, 기업문서 등을 분석하는 자체 시스템을 개발했다. 해당 시스템을 활용해 세부 산업별 규모, 산업 로드맵 등을 고려한 핵심 분야를 설계하고, 빅데이터 기반 투자 유니버스를 만든다. 투자 유니버스는 각 핵심 분야별로 매출 인식 종목, 자연어 처리(NLP·Natural Language Processing) 기반 세부 연관도 상위 종목 등을 선별해 100여 종목으로 구성한다.최종 포트폴리오는 투자 유니버스 내에서 ▲시장 점유율 ▲독점 플랫폼 보유 여부 ▲네트워크 효과 ▲전환 비용 등을 고려해 핵심 분야별 대표 종목을 선별한다. 산업의 패러다임 변화에 유연하게 대응할 수 있도록 코어(Core) 포트폴리오와 전략(Strategy) 포트폴리오로 구분해 관리한다. 코어 포트폴리오는 AI, 반도체 핵심 분야별 대표 종목 10개로 구성된다. 전략 포트폴리오는 비교적 낮은 시가총액 등의 이유로 각 분야 대표 종목은 아니지만 평가 점수가 높아 산업 변화에 따라 대표 종목이 될 수 있는 후보 그룹을 미리 편입한다.한편 한국투자 글로벌AI&반도체 TOP10펀드는 환율 변동에 따른 위험을 헤지하는 환헤지(H)형, 환율 변동에 자산을 노출하는 언헤지(UH)형, 미국 달러화(USD)로 투자하는 USD형으로 각기 출시됐다. 한국투자증권을 통해 가입할 수 있으며 판매사는 점차 확대될 예정이다. 운용을 맡은 김현태 한국투자신탁운용 글로벌퀀트운용부 책임은 ""최근 금리 인상, 경기 둔화로 IT 업종에 대한 투자 심리가 좋지 않은데, 이는 오히려 장기적으로 성장할 수 있는 AI와 반도체 대표 기업을 좋은 가격으로 투자할 수 있는 기회""라며 ""한국투자글로벌AI&반도체TOP10펀드는 전 세계의 AI와 반도체 분야별 대표 기업에 투자하기 때문에 장기 투자 성향의 투자자들이 적립식으로 가입하기에 적절한 상품""이라고 말했다."
"한투운용, ‘글로벌AI\&반도체TOP10펀드’ 출시",https://n.news.naver.com/mnews/article/119/0002708887?sid=101,"Wed, 03 May 2023 09:17:00 +0900","대표기업 선별 포트폴리오 구성ⓒ한국투자신탁운용[데일리안 = 황인욱 기자] 한국투자신탁운용은 3일 인공지능(AI)과 반도체 산업에 동시에 투자하는 ‘한국투자글로벌AI&반도체TOP10펀드’를 출시했다고 밝혔다.‘한국투자글로벌AI&반도체TOP10펀드’는 AI와 반도체 산업을 주도하면서 독점력을 가진 글로벌 대표 종목 10개를 선별해 집중 투자한다. AI와 반도체 산업이 융합하며 발생하는 시너지 효과로 폭발적 성장이 예상되는 미래 기술 선점 기업들이 투자 대상이다.운용을 맡은 김현태 한국투자신탁운용 글로벌퀀트운용부 책임은 “AI와 반도체 산업은 대표적인 승자독식 산업”이라며 “최근 뜨거운 화두인 챗GPT는 독점적 데이터를 가진 빅테크 기업과 독점적 제조 역량을 갖춘 반도체 기업이 미래 성장 동력을 선점하고 있음을 보여주는 대표적 사례”라고 설명했다.이어 “챗GPT가 마이크로소프트의 투자를 통해 성장하고, 이를 마이크로소프트가 다시 활용하는 것처럼 향후 AI 서비스는 데이터와 자본력을 가진 거대 빅테크 기업이 주도할 것”이라며 “이와 더불어 자체 개발 생태계를 갖춘 엔비디아 등 진입장벽을 가진 독점적 반도체 기업이 독보적 성장세를 보일 것이므로 독점적 주도 기업에 투자하는 것이 매우 중요하다”고 강조했다.‘한국투자글로벌AI&반도체TOP10펀드’는 AI와 반도체 산업 전반을 커버하는 핵심 분야를 선정한 뒤 대표 기업들을 선별해 포트폴리오를 구성한다.한국투자신탁운용은 AI와 반도체 분야의 글로벌 리서치, 뉴스, 기업문서 등을 분석하는 자체 시스템을 개발했다. 해당 시스템을 활용해 세부 산업별 규모, 산업 로드맵 등을 고려한 핵심 분야를 설계하고, 빅데이터 기반 투자 유니버스를 만든다.투자 유니버스는 각 핵심 분야별로 매출 인식 종목, 자연어 처리(NLP·Natural Language Processing) 기반 세부 연관도 상위 종목 등을 선별해 100여 종목으로 구성한다.최종 포트폴리오는 투자 유니버스 내에서 ▲시장 점유율 ▲독점 플랫폼 보유 여부 ▲네트워크 효과 ▲전환 비용 등을 고려해 핵심 분야별 대표 종목을 선별한다.산업의 패러다임 변화에 유연하게 대응할 수 있도록 코어(Core) 포트폴리오와 전략(Strategy) 포트폴리오로 구분해 관리한다.코어 포트폴리오는 AI, 반도체 핵심 분야별 대표 종목 10개로 구성된다. 전략 포트폴리오는 비교적 낮은 시가총액 등의 이유로 각 분야 대표 종목은 아니지만 평가 점수가 높아 산업 변화에 따라 대표 종목이 될 수 있는 후보 그룹을 미리 편입한다.김 책임은 “최근 금리 인상, 경기 둔화로 IT 업종에 대한 투자 심리가 좋지 않은데, 이는 오히려 장기적으로 성장할 수 있는 AI와 반도체 대표 기업을 좋은 가격으로 투자할 수 있는 기회”라며 “‘한국투자글로벌AI&반도체TOP10펀드’는 전 세계의 AI와 반도체 분야별 대표 기업에 투자하기 때문에 장기 투자 성향의 투자자들이 적립식으로 가입하기에 적절한 상품”이라고 말했다.‘한국투자글로벌AI&반도체TOP10펀드’는 환율 변동에 따른 위험을 헤지하는 환헤지(H)형, 환율 변동에 자산을 노출하는 언헤지(UH)형, 미국 달러화(USD)로 투자하는 USD형으로 각기 출시됐다. 한국투자증권을 통해 가입할 수 있으며 판매사는 점차 확대될 예정이다.		"
Kakao Brain to give Korean-language AI an upgrade,https://n.news.naver.com/mnews/article/044/0000232574?sid=104,"Thu, 25 Nov 2021 16:09:00 +0900","The corporate logo of Kakao Brain (Kakao Brain)Kakao Brain, an AI technology research and development subsidiary of Kakao, said Thursday it will upgrade its Korean-language AI model to go full swing in promoting the development of local AI industry.According to the AI company, it plans to enhance the deep learning process of KoGPT, Kako Brain’s Korean- language AI model, and make it 100 times more efficient by using Google Cloud’s supercomputer, Google Tensor Processing Unit.Google TPU is a large-scale computing system that rapidly calculates and processes data. It is the largest deep learning super computing infrastructure in the country that is capable of carrying out one quintillion calculations in a second, the company said.With the new system, Kakao Brain plans to improve the AI model to better understand Korean. For instance, the AI will be able to recognize sarcasm in a sentence and sort out negative online comments.“We will be launching a ‘vision AI model’ next year as well as upgrading AI models for other languages such as English and Thai,” a Kakao Brain official said.Using the deep learning technology, vision AI models collect detailed information from the images.Advanced models, for example, will be able to warn users walking down the street to watch out for a deep hole in the sidewalk.“In the future, AI models might be used in the mobility industry as well. It could even take the wheel in autonomous cars and drive them safely under a certain speed after analyzing the traffic,” the official said.“We plan to provide our AI language models as open source so that anyone could use our technology and come up with services that could further develop the AI industries in domestic and global markets,” said Kim Il-doo, CEO of Kakao Brain.Launched in 2017, Kakao Brain is carrying out research in machine learning methodology, robotics, intensive learning, natural language processing, voice recognition, speech synthesis and medical diagnosis.		"
LG debuts massive language AI EXAONE,https://n.news.naver.com/mnews/article/044/0000233050?sid=104,"Tue, 14 Dec 2021 15:30:00 +0900","New AI system, boasting a whopping 300 billion parameters, approaches “human-like” language skillsLG AI Research chief Bae Kyung-hoonLG Group’s AI research hub LG AI Research on Tuesday unveiled its new “ultra-large” artificial intelligence language model EXAONE that boasts more parameters than any other similar models created by its South Korean rivals. EXAONE, which refers to “expert AI for everyone,” has some 300 billion different parameters or variables that it can tune in. Being large means that the AI model has a better capacity to process data more efficiently and perform more advanced language skills. Because most human knowledge is encoded in language, tech firms around the world have been pouring resources into building their own extremely large AI language systems. The LG center, launched last year, said it has trained EXAONE to curate, ingest and interpret massive datasets. It has helped the AI software, equipped with a more advanced natural language processing, to reach a “human-like” language performance. While the existing AI models search for an image based on text analysis, the LG model can create a brand-new image for itself based on data it has studied. What also makes EXAONE unique is that it has been trained to perform both in Korean and English. Compared to its US or Korean rivals that have a specialty in one specific language, the dual language system has the potential for a wider adoption. 　LG said it aims to nurture EXAONE as a top 1 percent AI expert that can be used in almost all sectors like manufacturing, research, education and finance. Under the goal, the center has set up a three-phase long-term plan: testing in collaboration with LG affiliates, creating a global AI alliance and building an ecosystem for mass-market application. The AI model has already been adopted by LG’s key units like LG Electronics, LG Chem, LG Uplus and LG CNS, for uses such as developing a more fluent chatbot or discovering a new material by analyzing complex chemicals research papers published over the past 100 years. “Ultimately, we aim to play a role in building a global AI alliance where a slew of schools, experts and companies around the world are teaming up to solve difficult challenges across industries,” said Bae Kyung-hoon, chief of LG’s AI research hub.		"
