title,link,pubdate,content
Meet S. Korea’s guardians of the sea,https://n.news.naver.com/mnews/article/044/0000246329?sid=104,"Thu, 18 May 2023 16:25:00 +0900","On S. Korea’s homegrown Aegis destroyer and attack submarine, naval officers on readiness posture 24/7 amid escalating N. Korean threatsThe South Korean Navy’s 7,600-ton Sejong the Great Aegis destroyer and Lynx multi-purpose military helicopter stage an anti-submarine warfare exercise on Tuesday in waters off the island of Gadeokdo in Busan. (Republic of Korea Navy)BUSAN/CHANGWON, South Gyeongsang Province — “All hands, man your battle stations!”The combat control center of the South Korean Navy’s Sejong the Great Aegis destroyer in waters off the city of Busan sprung into life.Upon receiving information that a North Korean submarine armed with submarine-launched ballistic missiles, or SLBMs, was operating in waters off the Korean Peninsula, crew members donned life vests and took up their stations as a simulated exercise began Tuesday.But soon after, at the combat command center, a sense of calm permeated the air.One of the Navy’s three operating Aegis destroyers, the Sejong the Great embarked on a mission to detect and track ballistic missiles fired from North Korea to defend South Korea during the ballistic missile defense exercise.The 7,600-metric-ton Sejong the Great Aegis destroyer strategically established a concentrated surveillance area within the operational zone of North Korean ballistic missiles, initiating dedicated ballistic missile detection operations.Shortly afterward, the Aegis destroyer successfully detected an unidentified object using its SPY-1D radar. It tracked the detected projectile and swiftly relayed the gathered data to the Korea Theater Missile Operation Cell at South Korea’s Air Force Operations Command, located within Osan Air Base in the city of Pyeongtaek, Gyeonggi Province. The KTMO-Cell serves as the command and control center responsible for round-the-clock supervision of anti-ballistic missile operations within the Korean Theatre of Operations.Afterward, the Aegis destroyer meticulously analyzed the captured data, extracted crucial details -- such as the flight path, trajectory and distinctive characteristics of the detected object -- and promptly shared the information with relevant operational units.The Sejong the Great Aegis destroyer is the country’s first Korean-developed vessel of its kind, standing as the cornerstone of the South Korean Navy's warfighting capabilities. The Navy is responsible for protecting approximately 320,000 square kilometers of water, which is 3.5 times the size of the Korean Peninsula.The importance of Aegis destroyers is amplified by the advancements in North Korea’s nuclear and missile capabilities.The destroyer is equipped with a SPY-1D multifunction radar system, and is able to detect airborne targets up to 1,000 kilometers away. The destroyer can simultaneously detect and track over 1,000 targets and strike around 20 concurrently with anti-surface, anti-ship, and anti-air weapons.At the combat control center, Capt. Kim Sung-phil, the commanding officer of the Sejong the Great Aegis destroyer, commands a ballistic missile defense exercise and an anti-submarine warfare exercise staged on Tuesday in waters off the island of Gadeokdo in Busan. (Republic of Korea Navy)Ready for submarine warfareAfter completing a missile tracking mission, the Aegis destroyer then embarked on an anti-submarine warfare exercise, engaging in a simulated scenario where an enemy submarine violated the inter-Korean maritime border and launched a torpedo attack.It promptly issued orders to the nearby P-3 Orion maritime patrol aircraft upon detecting an unidentified submerged object. The P-3 Orion descended to an altitude of 100 meters or lower and deployed four active sonobuoys, which utilize transducers to emit acoustic signals and subsequently detect the returning echoes from objects underwater, and one marine location marker to aid in the search operation.Acoustic operators on board the P-3 Orion analyzed the gathered information and successfully pinpointed the precise location of the underwater object.The Lynx helicopter deploys a dipping sonar that can dive down below the sea surface and detect targets upon reaching the designated point during an anti-submarine warfare staged on Tuesday in waters off the island of Gadeokdo in Busan. (Republic of Korea Navy)The Lynx multi-purpose military helicopter swiftly took off from the destroyer to search for the North Korean submarine. The Lynx helicopter, upon reaching the designated point, deployed a dipping sonar, which enabled the destroyer to identify the detected underwater noises as indicative of torpedo propulsion.The destroyer promptly authorized the Lynx helicopter to engage the enemy submarine by firing the domestically-developed lightweight torpedo “Cheongsangeo.”The destroyer also unleashed a precision-guided, light anti-submarine missile called “Hongsangeo.” With remarkable accuracy, the missile found its mark, resulting in the successful destruction of the virtual enemy submarine.“Our Sejong the Great warship maintains the utmost level of combat readiness by engaging in rigorous training and education, simulating real-world scenarios to effectively prepare for a wide range of threats posed by the enemy,” said Capt. Kim Sung-phil, the commanding officer of the destroyer.“We are steadfast in our commitment to respond resolutely and decisively to any provocation from the enemy, regardless of the timing, location, or under what circumstances it may occur.”The 3000-ton Dosan Ahn Changho submarine. (File Photo - Republic of Korea Navy)Attack submarines ready for combatSouth Korea’s naval strength is further enhanced by the presence of the 3,000-ton Dosan Ahn Changho attack submarine, which stands as the country’s first domestically developed submarine.This submarine plays a critical role in the South Korean naval forces’ ability to detect and engage North Korean submarines equipped with SLBMs.The Dosan Ahn Changho submarine is capable of accurately targeting key locations in North Korea using its SLBMs, torpedoes and naval mines. The submarine is South Korea’s only submarine that can launch ballistic missiles, thus playing a vital role in the Navy’s strategic capability.“The Dosan Ahn Changho submarine is a world-class submarine optimized for ocean operations and long-term missions,” Capt. Kim Hyung-gyun, the commanding officer of the Dosan Ahn Changho submarine, said. “It serves as the core pillar of a powerful maritime force and is a national strategic weapon system capable of countering omnidirectional threats.”The headquarters of the South Korean Navy’s Submarine Force Command is strategically located in Jinhae Bay.The entrance signboard proudly displays the unit motto, “One shot! One hit! One sink!” The unit's motto symbolizes its unwavering determination and exceptional precision with which they carry out their missions.Stairs inside the 3,000-ton Dosan Ahn Changho submarine while being docked at the Jinhae naval base in the city of Changwon, South Gyeongsang Province, Wednesday. The ladders provide access between different decks or compartments within the submarine. (Republic of Korea Navy)The structure of the Dosan Ahn Changho submarine, which was open to journalists on Wednesday, was indeed unique.Even climbing the ladder to enter the submarine proved to be a challenging task.Once inside, the submarine has two levels, with a total of 50 beds each 190 centimeters long. Most of them are three-level bunk beds which appeared quite uncomfortable, especially those on the very bottom.Adjacent to the armament storage area, there was another sleeping area, the proximity. Another armament storage room is located near the area where 20 of the submariners eat.Within the confines of the submarine, a multitude of valves, buttons, machinery, torpedoes, missiles are all packed together. This environment highlights the intricate and interconnected nature of the submarine operations, where every component and individual plays a vital role despite the limited space available.A total of 50 beds, each measuring 190 centimeters long, are arranged aboard the Dosan Ahn Changho submarine. Most of them are three-level bunk beds, which appear quite uncomfortable to sleep in, especially the beds on the very bottom (Republic of Korea Navy)Military officials at the Submarine Force Command stressed the high complexity and sensitivity of submarines. They emphasized that the slightest mistake -- such as pressing the wrong button or mishandling one valve -- could have dangerous consequences, including the risk of submersion or sinking of the submarine itself.Comprehensive and intensive training, therefore, are essential to ensure the safety and effectiveness of submarine operations.“The best submarines are those that undergo the most training exercises,” one of the slogans displayed at the training center read. “Those who survive here will only survive in combat.”The mess hall of the 3,000-ton Dosan Ahn Changho submarine where 20 crew members have their meals. (Republic of Korea Navy)Another military official emphasized the importance of connecting submarines with crew members while introducing a training center with facilities that replicate the actual environment of the submarine.After undergoing a basic course that typically lasts from one to 1 1/2 years, individuals can become Navy submariners only after obtaining qualification through the Submarine Qualification System.But this is not the end -- individuals are required to undergo customized training tailored to the specific submarine they will serve on. This training continues on a yearly basis to ensure that submariners remain proficient in their duties and are familiar with the unique systems and operations of their assigned submarine.“Submarine units operate under the principle that peacetime is equivalent to wartime. The missions and operations we undertake remain unchanged, whether it is during peacetime or in times of conflict,” Rear Adm. Lee Su-youl, commander of the South Korean Navy’s Submarine Force Command said Wednesday at a naval base in Changwon’s Jinhae district, South Gyeongsang Province.“We consider peacetime as if it were wartime, consistently conducting training exercises, maintaining readiness, and staying prepared.”"
"스누아이랩, 독자 연구 논문 글로벌 학회 CVPR 2022 채택",https://n.news.naver.com/mnews/article/092/0002249420?sid=105,"Thu, 03 Mar 2022 15:33:00 +0900","			스누아이랩(대표 유명호)는 독자 개발한 준지도 학습법 논문이 2022년 컴퓨터 비전 및 패턴인식 학회(CVPR) 채택됐다고 3일 밝혔다.CVPR는 국제 전기전자공학회(IEEE)와 국제 컴퓨터비전재단(CVF)이 공동 주최하는 국제 학술대회로 글로벌 최고 수준의 권위를 자랑한다.학회에서 채택한 논문은 스누아이랩에서 독자 개발한 객체 검출(Object Detection)준지도 학습법 MUM (Mix Image Tiles and UnMix Feature Tiles for Semi-Supervised Object Detection)이다.CVPR 2021에 채택된 MUM 기반 준 지도 학습 모델(이미지=스누아이랩)현재 딥러닝은 AI 개발자에 의하여 데이터 수집, 선별, 라벨링, 학습, 검증, 배포 과정을 AI 개발자가 직접 진행하고 있는데 전문 용어로는 완전학습 (Supervised Learning)이라고 한다. 그동안 구글, 알리바바, 페이스북에서 세계 최고 성능을 구현하여 업계의 표준이 되어 왔다.스누아이랩은 이번 준지도 학습법 개발로 세계 최고의 성능을 구현해 새로운 SOTA(State of the art) 실현했다고 밝혔다.논문을 바탕으로 구현한 준지도학습(Semi-Supervised Learning)의 핵심엔진은 스누아이랩의 딥러닝 자동화 플랫폼 오토케어 플랫폼에 탑재됐다.오토케어 플랫폼은 AI 기반으로 영상 데이터의 메타데이터화를 통한 생성, 분류, 탐색과 자동화된 학습 및 모델의 최적화된 파라미터를 찾아주는 딥러닝 자동화플랫폼이다.이 밖에도 스누아이랩은 초고화질과 디블러링 알고리즘을 활용해 머신비전 분야의 이미지 전처리 분야의 다방면으로 서비스를 제공하고 있다.스누아이랩은 서울대학교(기술지주), 현직 AI전공 교수 6명과 삼성종합기술원·삼성테크윈(現 한화테크윈) 핵심 연구원들이 주축이 돼 2019년 2월에 설립된 조인트벤처다."
USA NEW YORK EXPLOSIVE DETECTION SYSTEM,https://n.news.naver.com/mnews/article/091/0006387827?sid=104,"Wed, 28 Feb 2018 05:54:00 +0900","Explosive Detection System Demonstrated in New York's Penn StationA computer screen shows the readings of a concealed object detection system called 'Stand Off Explosive Detection Technology' that will be tried out in the Penn Station railroad terminal in New York, New York, USA, 27 February 2018. The system, which is being implemented at Penn Station at the direction of the United States' Transportation Security Administration after a failed suicide bombing in New York in December 2017, is intended to detect concealed objects by using millimeter-wave radar technology.  EPA/JUSTIN LANE▶기사제보 및 문의▶로봇이 쓰는 올림픽 속보  ▶사진구매 문의"
USA NEW YORK EXPLOSIVE DETECTION SYSTEM,https://n.news.naver.com/mnews/article/091/0006387627?sid=104,"Wed, 28 Feb 2018 03:38:00 +0900","Explosive Detection System Demonstrated in New York's Penn StationAn Amtrak police officer demonstrates a concealed object detection system called 'Stand Off Explosive Detection Technology' that will be tried out in the Penn Station railroad terminal in New York, New York, USA, 27 February 2018. The system, which is being implemented at Penn Station at the direction of the United States' Transportation Security Administration after a failed suicide bombing in New York in December 2017, is intended to detect concealed objects by using millimeter-wave radar technology.`  EPA/JUSTIN LANE▶기사제보 및 문의▶로봇이 쓰는 올림픽 속보  ▶사진구매 문의"
USA NEW YORK EXPLOSIVE DETECTION SYSTEM,https://n.news.naver.com/mnews/article/091/0006387614?sid=104,"Wed, 28 Feb 2018 03:25:00 +0900","Explosive Detection System Demonstrated in New York's Penn StationAn Amtrak police officer (R) demonstrates a concealed object detection system called 'Stand Off Explosive Detection Technology' that will be tried out in the Penn Station railroad terminal in New York, New York, USA, 27 February 2018. The system, which is being implemented at Penn Station at the direction of the United States' Transportation Security Administration after a failed suicide bombing in New York in December 2017, is intended to detect concealed objects by using millimeter-wave radar technology.`  EPA/JUSTIN LANE▶기사제보 및 문의▶로봇이 쓰는 올림픽 속보  ▶사진구매 문의"
USA NEW YORK EXPLOSIVE DETECTION SYSTEM,https://n.news.naver.com/mnews/article/091/0006387613?sid=104,"Wed, 28 Feb 2018 03:25:00 +0900","Explosive Detection System Demonstrated in New York's Penn StationA computer screen shows the readings of a concealed object detection system called 'Stand Off Explosive Detection Technology' that will be tried out in the Penn Station railroad terminal in New York, New York, USA, 27 February 2018. The system, which is being implemented at Penn Station at the direction of the United States' Transportation Security Administration after a failed suicide bombing in New York in December 2017, is intended to detect concealed objects by using millimeter-wave radar technology.  EPA/JUSTIN LANE▶기사제보 및 문의▶로봇이 쓰는 올림픽 속보  ▶사진구매 문의"
"제우스, '에이트테크'와 폐기물 분류 솔루션 개발 MOU",https://n.news.naver.com/mnews/article/003/0011673321?sid=101,"Fri, 03 Feb 2023 10:29:00 +0900","박태형 에이트테크 대표(왼쪽), 황재익 제우스 본부장(오른쪽). (사진=제우스) *재판매 및 DB 금지[서울=뉴시스] 김경택 기자 = 반도체·로봇 제조 전문기업 제우스는 에이트테크와 폐기물 자동화 선별 시스템 개발에 대한 업무협약(MOU)을 체결했다고 3일 밝혔다.두 회사는 이번 MOU 체결에 따라 혼합 폐기물에서 재활용품을 분류하는 솔루션을 개발한다는 목표다. 딥러닝 기반 객체인식(Object Detection) 기술과 객체분석(Object Analysis) 기술을 탑재한 '에이트테크'의 '에이트론' 로봇에 제우스의 '제로 델타' 로봇을 연동해 기술 구현에 나설 계획이다.에이트론은 사람이 직접 손으로 재활용 폐기물을 직접 분류해내던 기존 방식을 자동화한 스마트 자원 순환 로봇이다. 컨베이어벨트 위를 지나가는 재활용 폐기물을 카메라로 인식해 인공지능으로 분석하고, 로봇 팔로 자동 선별·분류한다. 회사는 에이트론에 제우스 로봇을 탑재함으로써 기존 사람이 1분 당 30~40개 선별하던 양을 90개 이상으로 안정적으로 선별할 수 있도록 기술 고도화를 이룰 계획이다.황재익 제우스 본부장은 ""이번 협약을 통해 제우스와 에이트테크의 시너지 효과가 기대된다""며 ""특히 에이트테크가 지향하고 있는 자원 순환 솔루션 비즈니스 전반에 제우스 제로 로봇을 적용해, 폐자원의 재활용 순환고리를 만들어 나가는 데 협력해 나갈 것""이라고 말했다."
"제우스, ‘에이트테크’와 폐기물 분류 솔루션 개발 MOU",https://n.news.naver.com/mnews/article/018/0005417762?sid=101,"Fri, 03 Feb 2023 09:36:00 +0900","			[이데일리 이정현 기자] 반도체 및 로봇 제조 전문기업 제우스(079370)(대표 이종우)는 에이트테크(대표 박태형)와 폐기물 자동화 선별 시스템 개발에 대한 업무협약(MOU)을 체결했다고 3일 밝혔다.양 사는 이번 MOU 체결로 혼합 폐기물에서 재활용품을 분류하는 솔루션 개발을 통한 성능 향상을 이룬다는 목표다. 딥러닝 기반 객체인식(Object Detection) 기술과 객체분석(Object Analysis) 기술을 탑재한 ‘에이트테크’의 ‘에이트론’ 로봇에 제우스의 ‘제로 델타’ 로봇을 연동해 기술 구현에 나설 계획이다.‘에이트론’은 사람이 직접 손으로 재활용 폐기물을 직접 분류해내던 기존 방식을 자동화한 스마트 자원 순환 로봇이다. 컨베이어벨트 위를 지나가는 재활용 폐기물을 카메라로 인식해 인공지능으로 분석하고 로봇 팔로 자동 선별 및 분류한다. 회사는 ‘에이트론’에 제우스 로봇을 탑재함으로써 기존 사람이 1분당 30~40개 선별하던 양을 90개 이상으로 안정적으로 선별할 수 있도록 기술 고도화를 이룰 계획이다.황재익 제우스 본부장은 “이번 협약을 통해 제우스와 에이트테크의 시너지 효과가 기대된다”며 “특히 에이트테크가 지향하고 있는 자원 순환 솔루션 비즈니스 전반에 제우스 제로 로봇을 적용해, 폐자원의 재활용 순환고리를 만들어 나가는데 협력해 나갈 것”이라고 소감을 전했다.제우스와 에이트테크는 국내 자원 선별 라인 자동화에 필요한 로봇과 추가 설비 개발을 추진할 계획이며, 공동 개발한 로봇은 우수한 성능과 가격 경쟁력을 바탕으로 올해 상반기 중 여러 지자체와 민간자원회수센터, 경서동 로봇자원선별센터 등에 활용할 계획이다."
"마크애니, AI 마스킹 적용한 수술실 전용 CCTV 보안 솔루션 선봬",https://n.news.naver.com/mnews/article/138/0002141737?sid=105,"Wed, 01 Feb 2023 17:38:00 +0900",[디지털데일리 이종현기자] 마크애니는 수술실 전용 폐쇄회로(CC)TV 영상반출보안 솔루션 ‘콘텐츠 세이퍼 포 헬스케어’ 개발을 완료했다고 1일 밝혔다.    마크애니에 따르면 수술실 CCTV 의무설치 조건에 해당하는 수면 및 전신마취 수술은 1시간에서 12시간 이상 소요된다. 해당 수술 영상을 외부로 반출할 때 영상관리자는 재생 시간이 긴 영상을 직접 살피며 환자와 의료진의 얼굴 및 신체를 수동으로 모자이크해야 한다. 이때 과한 작업량이 발생하며 영상반출 지연 문제로도 이어질 수 있다.    이에 마크애니는 수술 촬영 영상에서 마스킹이 필요한 사람을 선택하면 자동으로 모자이크 되도록 딥러닝 기반 객체 검출 모델(Object detection)을 활용했다.    CCTV 관제 화면에 적용된 AI는 영상 내에서 스스로 사람을 탐지해 한 명당 하나의 ID를 부여한다. 마스킹 작업시 모자이크 처리가 필요한 사람에게 할당된 ID를 선택하면 별도의 작업없이 해당 인물은 영상 전체에서 모자이크 된다. 영상에서 인물이 움직이더라도 객체 추적 알고리즘(Object Tracking)기술로 모자이크가 유지된다. 섬세한 작업이 필요할 때는 수동으로 객체를 지정해 마스킹할 수 있다.   의료진의 기본권을 보장하는 영상 리뷰 기능도 탑재했다. 수술에 참여한 의료진은 마스킹이 완료된 영상을 직접 확인하고 모자이크 처리가 제대로 되지 않았다고 판단한 경우 영상 관리자에게 재작업을 요청할 수 있다.   이밖에 ▲영상 콘텐츠 자동암호화 ▲포렌식 워터마킹 적용 ▲영상 이용 이력 관리 등 영상 외부 반출에 대한 보안 기능도 갖췄다.   마크애니는 오는 13일부터 콘텐츠 세이퍼 포 헬스케어 베타버전을 시범 도입한 의료기관에 배포해 실효성 검증과 기술 고도화를 진행한다는 계획이다.   최고 마크애니 대표는 “마크애니는 이미 80여 개 지자체를 중심으로 CCTV 영상반출보안 솔루션을 구축하며 CCTV 영상 보안 기술력과 운영 안정성을 검증받았다”며 “마크애니가 보유한 영상 콘텐츠 보안 기술력을 토대로 수술실 환경에 적합한 보호 조치 기능을 마련해 의료법 개정안이 안정적으로 정착할 수 있도록 기여하겠다”고 말했다.		
"네이버 스포츠, 국내 프로야구 ‘모든 타석 영상 보기’ 기능 추가",https://n.news.naver.com/mnews/article/022/0003489979?sid=105,"Sun, 02 Aug 2020 19:02:00 +0900","딥러닝 활용 ‘object detection’과 ‘컴퓨터 비전’ 기술 적용    네이버 스포츠가 ‘2020 KBO 국내프로야구 리그’ 영상 서비스에 자체 영상 분석 기술로 개발한 ‘전타석 영상 보기’ 기능을 도입했다.   네이버 스포츠의 모바일 야구 서비스에 우선 적용된 이번 기능은 딥러닝을 활용한 ‘object detection’과 ‘컴퓨터 비전’ 기술로 실시간 영상과 경기 기록 데이터를 결합하고 분석해, 국내프로야구 전경기의 모든 타석 영상을 제공한다는 게 회사 측 설명이다.   특정 타석의 영상을 공유할 수 있도록 타석별 url 복사 기능도 함께 제공하며, 해당 기능은 경기 종료 후 약 네이버 스포츠 모바일 야구 서비스에서 이용할 수 있다.   ‘object detection’ 기술은 영상 및 이미지에서 사물을 인식하는 기술로 네이버 스포츠 영상에 있는 스코어보드 및 투구 모션 등을 자동 인식하는 데 적용된 바 있다.   ‘컴퓨터 비전’ 기술은 인간의 시각적인 인식 능력을 컴퓨터로 재현하고 영상들로부터 주어진 장면에 관한 텍스트 및 데이터 등 유용한 정보를 추출하는 기술이다.   네이버 스포츠는 경기 종료 후가 아닌 실시간 중계에도 이 기능을 적용해 모든 타석의 장면을 중계 시청 중에도 되돌려 볼 수 있게 확대하고, 각 구간별 소비 지표 및 시청자별 선호 선수 등 빅데이터를 수집·분석해 다양한 서비스 개발과 영상 자동화의 완성도와 AI기술 영역을 고도화해 나간다는 계획이다.   앞서 네이버 스포츠는 영상 자동화 기술을 PC 버전의 국내프로야구 리그 및 해외축구 중계에 적용한 바 있으며, 특히 경기 종료 후 즉시 제공되는 득점 하이라이트 영상을 통해 야구팬들의 큰 호응을 얻고 있다.   네이버 스포츠플랫폼 백준봉 TL은 “네이버스포츠 영상 자동화 기술은 수작업에 의존하던 영상 분석과 편집을 AI로 자동화하는 것에 그치는 것이 아니라, 영상과 데이터가 더 큰 범위로 결합되는 빅데이터를 산출해 그동안 보지 못했던 범위와 속도로 이용자에게 놀라운 경험을 제공하는 데 목표를 두고 있다”라고 밝혔다.   한편, 네이버 스포츠는 앞서 적용된 ‘득점 하이라이트’와 ‘홈런장면 보기’ 등 AI 기술을 활용한 서비스를 통해 이용자에게 다채로운 즐거움을 제공하기 위해 지속적인 기술 개발에 노력을 기울이고 있다고 전했다.   현화영 기자 hhy@segye.com  사진=네이버 스포츠ⓒ 세상을 보는 눈, 세계일보"
